Date,Close
2015-10-01,49.71
2015-10-02,49.92
2015-10-05,50.73
2015-10-06,50.37
2015-10-07,51.25
2015-10-08,52.69
2015-10-09,53.37
2015-10-12,53.39
2015-10-13,52.93
2015-10-14,51.7
2015-10-15,52.25
2015-10-16,51.28
2015-10-19,51.17
2015-10-20,52.76
2015-10-21,51.97
2015-10-22,53.39
2015-10-23,52
2015-10-26,52.93
2015-10-27,53.58
2015-10-28,53.12
2015-10-29,53.24
2015-10-30,52.91
2015-11-02,53.54
2015-11-03,54.13
2015-11-04,53.79
2015-11-05,54.35
2015-11-06,54.28
2015-11-09,53.86
2015-11-10,54.41
2015-11-11,54.2
2015-11-12,53.18
2015-11-13,51.7
2015-11-16,50.47
2015-11-17,49.01
2015-11-18,49.56
2015-11-19,49.75
2015-11-20,49.79
2015-11-23,50.05
2015-11-24,49.65
2015-11-25,49.41
2015-11-27,49.33
2015-11-30,49.16
2015-12-01,49.94
2015-12-02,49.31
2015-12-03,48.35
2015-12-04,48.8
2015-12-07,47.99
2015-12-08,47.68
2015-12-09,46.03
2015-12-10,46.77
2015-12-11,46.15
2015-12-14,45.05
2015-12-15,45.18
2015-12-16,47.53
2015-12-17,46.83
2015-12-18,45.43
2015-12-21,45.24
2015-12-22,46.07
2015-12-23,46.66
2015-12-24,46.3
2015-12-28,46.11
2015-12-29,46.13
2015-12-30,45.73
2015-12-31,45.31
2016-01-04,44.65
2016-01-05,44.67
2016-01-06,42.34
2016-01-07,40.75
2016-01-08,40.54
2016-01-11,40.73
2016-01-12,41.41
2016-01-13,39.25
2016-01-14,38.95
2016-01-15,37.58
2016-01-19,36.65
2016-01-20,37.56
2016-01-21,38.87
2016-01-22,38.68
2016-01-25,36.88
2016-01-26,39.14
2016-01-27,37.94
2016-01-28,36.37
2016-01-29,37.71
2016-02-01,38.02
2016-02-02,36.58
2016-02-03,36.86
2016-02-04,38.3
2016-02-05,37.26
2016-02-08,37.01
2016-02-09,37.35
2016-02-10,38.28
2016-02-11,37.79
2016-02-12,39.25
2016-02-16,40.2
2016-02-17,41.71
2016-02-18,41.52
2016-02-19,42.09
2016-02-22,42.13
2016-02-23,42.09
2016-02-24,42.11
2016-02-25,42.76
2016-02-26,43.82
2016-02-29,43.99
2016-03-01,44.35
2016-03-02,45.28
2016-03-03,45.71
2016-03-04,46.34
2016-03-07,45.64
2016-03-08,44.33
2016-03-09,43.97
2016-03-10,43.42
2016-03-11,45.01
2016-03-14,45.11
2016-03-15,44.71
2016-03-16,44.95
2016-03-17,44.97
2016-03-18,46.6
2016-03-21,47.44
2016-03-22,47.17
2016-03-23,46.45
2016-03-24,46.72
2016-03-28,47.17
2016-03-29,47.55
2016-03-30,48.12
2016-03-31,47.68
2016-04-01,46.6
2016-04-04,46.98
2016-04-05,46.24
2016-04-06,47.1
2016-04-07,46.79
2016-04-08,47.21
2016-04-11,47.21
2016-04-12,47.55
2016-04-13,48.27
2016-04-14,48.08
2016-04-15,47.61
2016-04-18,47.06
2016-04-19,47.23
2016-04-20,46.41
2016-04-21,46.83
2016-04-22,45.83
2016-04-25,46.03
2016-04-26,45.81
2016-04-27,47.17
2016-04-28,47.08
2016-04-29,46.68
